Date,Region,Product,Channel,SalesRep,Quantity,UnitPrice,DiscountRate,Revenue
2024-04-12,West,Widget A,Distributor,Charlie,72,33.95,0.05,2322.18
2024-08-02,East,Widget C,Online,Derek,24,36.04,0.02,847.66
2024-12-09,West,Widget B,Retail,Bob,64,49.69,0.19,2575.93
2024-11-09,South,Widget A,Online,Alice,91,34.47,0.04,3011.3
2024-07-06,West,Widget C,Retail,Charlie,55,49.33,0.14,2333.31
2024-11-02,East,Widget A,Online,Bob,4,47.69,0.17,158.33
2024-09-21,South,Widget A,Retail,Derek,92,27.61,0.04,2438.52
2024-09-20,East,Widget C,Retail,Alice,36,17.29,0.23,479.28
2024-02-23,South,Widget D,Retail,Eva,63,43.69,0.13,2394.65
2024-07-20,South,Widget D,Retail,Derek,62,23.01,0.12,1255.43
2024-12-03,East,Widget A,Retail,Alice,60,31.71,0.04,1826.5
2024-01-15,North,Widget A,Online,Alice,88,25.8,0.09,2066.06
2024-03-03,East,Widget C,Online,Charlie,35,40.85,0.02,1401.16
2024-08-18,South,Widget A,Distributor,Alice,72,27.98,0.03,1954.12
2024-03-02,West,Widget A,Distributor,Derek,86,45.49,0.14,3364.44
2024-04-10,East,Widget B,Distributor,Alice,5,32.45,0.23,124.93
2024-12-24,East,Widget A,Distributor,Bob,42,27.57,0.06,1088.46
2024-12-17,East,Widget A,Online,Derek,94,15.57,0.18,1200.14
2024-05-22,East,Widget A,Online,Charlie,86,45.22,0.19,3150.03
2024-03-02,North,Widget A,Retail,Derek,28,18.74,0.12,461.75
2024-11-26,West,Widget B,Distributor,Derek,89,22.72,0.03,1961.42
2024-10-09,South,Widget A,Online,Alice,3,10.28,0.15,26.21
2024-05-16,South,Widget A,Online,Charlie,44,19.77,0.05,826.39
2024-06-08,West,Widget D,Online,Derek,62,48.87,0.29,2151.26
2024-10-21,South,Widget C,Online,Eva,56,11.48,0.18,527.16
2024-05-09,West,Widget B,Distributor,Eva,96,46.33,0.07,4136.34
2024-05-09,North,Widget D,Retail,Derek,55,40.46,0.07,2069.53
2024-09-11,South,Widget D,Online,Derek,98,35.34,0.16,2909.19
2024-08-27,West,Widget A,Online,Derek,59,17.46,0.01,1019.84
2024-05-27,West,Widget C,Distributor,Bob,67,42.38,0.1,2555.51
2024-07-17,West,Widget A,Online,Bob,1,37.03,0.22,28.88
2024-05-30,East,Widget B,Retail,Charlie,7,36.4,0.25,191.1
2024-02-29,North,Widget B,Online,Derek,69,46.02,0.19,2572.06
2024-01-09,North,Widget C,Distributor,Charlie,20,45.48,0.23,700.39
2024-04-25,East,Widget A,Retail,Derek,99,24.89,0.28,1774.16
2024-06-01,North,Widget B,Retail,Bob,66,37.68,0.2,1989.5
2024-06-17,West,Widget A,Online,Eva,48,39.86,0.19,1549.76
2024-05-14,East,Widget A,Online,Derek,59,24.71,0.08,1341.26
2024-08-25,South,Widget B,Retail,Eva,51,45.68,0.19,1887.04
2024-08-13,North,Widget B,Online,Derek,64,44.57,0.07,2652.81
2024-10-30,East,Widget D,Distributor,Alice,17,49.78,0.14,727.78
2024-02-15,North,Widget B,Distributor,Derek,37,47.13,0.13,1517.11
2024-06-29,East,Widget C,Online,Derek,63,22.23,0.06,1316.46
2024-06-09,West,Widget C,Retail,Alice,95,43.77,0.28,2993.87
2024-06-22,West,Widget B,Distributor,Bob,27,21.81,0.1,529.98
2024-04-13,North,Widget A,Distributor,Eva,42,42.37,0.24,1352.45
2024-01-13,West,Widget B,Distributor,Alice,36,41.93,0.19,1222.68
2024-05-21,West,Widget C,Distributor,Derek,98,13.76,0.17,1119.24
2024-12-07,East,Widget A,Retail,Eva,22,33.63,0.01,732.46
2024-06-28,South,Widget B,Distributor,Charlie,60,23.07,0.25,1038.15
2024-02-29,West,Widget D,Online,Derek,6,12.07,0.16,60.83
2024-02-16,East,Widget C,Online,Bob,30,11.64,0.12,307.3
